,Sharpness,Contrast,NIQE,BRISQUE
0.1to0.1,18.77,62.0,15.19,15.25
0.1to0.2,9.43,33.72,17.74,9.8
0.1to0.3,9.49,35.59,19.38,6.05
0.1to0.4,9.56,35.48,22.32,10.32
0.1to0.5,9.27,31.81,19.81,19.12
0.1to0.6,9.28,31.26,24.15,23.0
0.1to0.7,9.14,28.46,35.7,20.98
0.1to0.8,8.42,24.35,24.5,25.81
0.1to0.9,8.95,24.93,30.71,28.22
0.1to1.0,8.34,21.56,25.72,27.78
0.1to1.1,8.34,21.71,27.41,23.17
0.1to1.2,8.5,21.36,31.05,24.57
0.1to1.3,8.04,20.83,17.52,28.08
0.1to1.4,7.89,17.38,27.41,26.34
0.1to1.5,7.57,18.37,40.88,26.62
0.1to1.6,7.17,15.36,21.5,26.94
0.1to1.7,6.75,13.17,42.74,21.04
0.1to1.8,6.52,13.95,40.39,22.29
0.1to1.9,6.8,11.72,47.96,20.94
0.1to2.0,6.64,11.93,35.61,22.47
0.1to2.1,6.62,11.04,51.92,20.48
0.1to2.2,6.53,11.16,49.07,20.64
0.1to2.3,6.6,11.22,54.35,21.45
0.1to2.4,6.59,10.94,59.24,20.93
0.1to2.5,6.59,12.11,38.23,23.38
0.1to2.6,6.85,12.91,27.71,25.96
0.1to2.7,7.39,13.91,39.34,29.7
0.1to2.8,8.11,16.23,18.88,32.93
0.1to2.9,8.62,18.37,39.44,28.86
0.1to3.0,8.43,17.87,29.29,27.0
0.2to0.1,12.65,20.46,40.9,26.08
0.2to0.2,19.92,60.07,12.5,16.88
0.2to0.3,14.72,49.17,22.44,23.87
0.2to0.4,16.09,53.53,26.29,28.29
0.2to0.5,14.89,45.03,35.75,16.12
0.2to0.6,14.45,44.27,22.51,22.33
0.2to0.7,14.68,43.48,21.3,21.94
0.2to0.8,14.25,40.47,22.84,25.03
0.2to0.9,14.64,42.57,24.53,26.01
0.2to1.0,13.33,37.39,18.52,33.74
0.2to1.1,13.88,40.65,16.03,30.84
0.2to1.2,13.36,38.22,19.98,33.07
0.2to1.3,13.6,38.82,24.03,35.98
0.2to1.4,13.51,39.38,23.22,36.43
0.2to1.5,14.45,40.63,24.78,40.24
0.2to1.6,13.5,40.38,20.36,29.13
0.2to1.7,15.3,40.7,17.65,41.79
0.2to1.8,15.49,42.8,20.23,47.81
0.2to1.9,17.17,42.77,23.0,49.97
0.2to2.0,16.1,43.31,25.19,44.1
0.2to2.1,16.5,43.97,14.23,40.68
0.2to2.2,17.15,44.2,19.16,41.82
0.2to2.3,17.56,43.58,18.24,51.53
0.2to2.4,16.63,42.3,12.46,42.12
0.2to2.5,16.8,42.43,17.68,45.25
0.2to2.6,17.58,42.61,17.75,38.81
0.2to2.7,17.21,40.04,20.49,41.05
0.2to2.8,17.35,40.37,20.79,35.44
0.2to2.9,16.79,37.47,15.67,43.93
0.2to3.0,14.08,28.03,12.59,33.98
0.3to0.1,15.96,28.24,40.6,24.19
0.3to0.2,14.46,39.56,20.67,18.52
0.3to0.3,20.07,58.58,13.02,18.41
0.3to0.4,19.09,66.54,19.42,3.7
0.3to0.5,19.43,71.16,15.89,29.01
0.3to0.6,19.52,69.75,16.1,33.94
0.3to0.7,19.4,67.8,15.71,22.74
0.3to0.8,19.34,66.08,17.96,32.06
0.3to0.9,20.38,68.41,16.52,30.15
0.3to1.0,19.24,65.0,21.58,37.49
0.3to1.1,19.22,65.28,19.74,34.11
0.3to1.2,19.05,62.29,27.21,31.7
0.3to1.3,19.81,67.2,32.92,44.07
0.3to1.4,19.88,69.0,16.96,33.61
0.3to1.5,19.68,69.22,21.87,35.73
0.3to1.6,19.25,61.69,16.51,26.12
0.3to1.7,19.07,68.45,24.77,35.03
0.3to1.8,19.09,61.28,24.22,28.6
0.3to1.9,18.49,65.13,35.08,35.07
0.3to2.0,18.28,60.11,17.55,29.25
0.3to2.1,19.03,60.21,22.84,35.34
0.3to2.2,18.59,63.73,24.77,26.25
0.3to2.3,18.24,62.56,31.65,19.95
0.3to2.4,18.37,62.35,26.34,23.19
0.3to2.5,18.29,62.94,27.87,31.2
0.3to2.6,17.29,53.28,17.25,23.01
0.3to2.7,17.24,53.78,15.04,31.02
0.3to2.8,16.48,45.73,22.87,28.26
0.3to2.9,15.64,36.64,28.11,28.78
0.3to3.0,15.81,31.24,19.99,14.4
0.4to0.1,17.33,30.72,32.65,25.47
0.4to0.2,15.29,35.23,24.74,21.2
0.4to0.3,15.22,41.66,30.44,16.11
0.4to0.4,20.01,58.72,15.55,19.39
0.4to0.5,19.6,64.12,15.52,18.18
0.4to0.6,19.25,63.41,13.44,27.25
0.4to0.7,19.37,68.38,12.57,30.35
0.4to0.8,19.62,68.19,14.61,29.94
0.4to0.9,19.37,63.14,15.9,30.78
0.4to1.0,19.7,63.92,21.79,47.29
0.4to1.1,19.61,69.01,17.0,36.49
0.4to1.2,18.63,60.73,18.85,33.53
0.4to1.3,19.36,64.97,26.76,34.75
0.4to1.4,19.5,67.17,21.56,41.32
0.4to1.5,19.56,63.95,24.36,24.32
0.4to1.6,19.82,63.88,19.24,44.73
0.4to1.7,19.44,63.33,17.04,28.32
0.4to1.8,19.65,68.23,16.58,36.01
0.4to1.9,19.17,64.22,25.22,27.46
0.4to2.0,19.67,66.21,28.31,30.41
0.4to2.1,20.29,64.27,25.03,38.82
0.4to2.2,19.25,65.6,37.36,35.72
0.4to2.3,19.23,65.64,29.1,29.16
0.4to2.4,19.31,61.79,26.85,31.24
0.4to2.5,19.76,64.41,19.77,30.99
0.4to2.6,18.73,57.94,20.45,27.28
0.4to2.7,19.53,56.1,22.85,23.61
0.4to2.8,18.92,52.46,15.64,21.52
0.4to2.9,19.62,47.94,14.41,23.48
0.4to3.0,17.74,38.73,11.34,24.44
0.5to0.1,16.75,29.46,36.4,22.49
0.5to0.2,15.87,35.68,21.05,25.57
0.5to0.3,14.67,36.08,21.32,23.59
0.5to0.4,14.99,42.98,19.93,19.06
0.5to0.5,19.83,58.38,20.25,15.16
0.5to0.6,20.54,61.69,24.06,21.97
0.5to0.7,22.04,66.68,15.0,15.92
0.5to0.8,23.43,72.59,20.55,24.99
0.5to0.9,24.65,71.83,17.33,25.95
0.5to1.0,24.2,70.84,18.52,24.14
0.5to1.1,24.34,76.06,14.5,31.71
0.5to1.2,24.92,75.11,13.88,30.67
0.5to1.3,25.19,79.62,21.81,35.83
0.5to1.4,25.24,79.52,15.21,34.14
0.5to1.5,25.72,80.74,25.37,37.3
0.5to1.6,25.77,77.51,15.93,40.15
0.5to1.7,25.84,78.11,17.88,30.83
0.5to1.8,26.19,79.59,19.34,33.54
0.5to1.9,26.11,80.05,18.9,32.66
0.5to2.0,26.29,78.02,19.91,32.72
0.5to2.1,26.51,80.03,19.83,33.3
0.5to2.2,26.22,77.94,21.37,29.83
0.5to2.3,25.8,81.62,23.54,32.09
0.5to2.4,26.56,78.91,17.37,36.32
0.5to2.5,26.24,80.26,15.19,18.89
0.5to2.6,26.36,76.91,18.58,20.68
